serial_number,model,capacity_bytes,smart_9_max,smart_9_min,smart_9_delta,smart_194_max,smart_194_min,smart_194_delta,smart_241_delta,smart_242_delta,smart_5_ever,smart_5_days_pos,smart_5_max,smart_187_ever,smart_187_days_pos,smart_187_max,smart_188_ever,smart_188_days_pos,smart_188_max,smart_197_ever,smart_197_days_pos,smart_197_max,smart_198_ever,smart_198_days_pos,smart_198_max,smart_199_ever,smart_199_days_pos,smart_199_max,failed_in_30d
ZHZ07RNQ,ST12000NM0008,12000138625024,46157.0,45424.0,733.0,32.0,29.0,1.0,925841360.0,6168455022.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ085SK,ST12000NM0008,12000138625024,46149.0,45432.0,717.0,28.0,24.0,0.0,852633720.0,5727155862.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ08A28,ST12000NM0008,12000138625024,46145.0,45428.0,717.0,24.0,20.0,0.0,930163864.0,6383498134.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ08KC5,ST12000NM0008,12000138625024,46159.0,45439.0,720.0,50.0,46.0,1.0,933108584.0,5346411216.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ096WB,ST12000NM0008,12000138625024,11040.0,10323.0,717.0,37.0,31.0,-5.0,1014699136.0,7566458328.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0B0MV,ST12000NM0008,12000138625024,15572.0,14847.0,725.0,36.0,34.0,-1.0,1316348552.0,5945716666.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0B0VZ,ST12000NM0008,12000138625024,46154.0,45437.0,717.0,28.0,26.0,-2.0,993159248.0,5563953240.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0BMQA,ST12000NM0008,12000138625024,46176.0,45458.0,718.0,25.0,24.0,1.0,1060903352.0,7446993296.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0BS1X,ST12000NM0008,12000138625024,15584.0,14858.0,726.0,26.0,25.0,0.0,1240154672.0,7033791400.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0BSGH,ST12000NM0008,12000138625024,46149.0,45430.0,719.0,41.0,36.0,-2.0,969474488.0,5417530584.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0BSS1,ST12000NM0008,12000138625024,46582.0,45865.0,717.0,33.0,30.0,-1.0,938203368.0,24905297480.0,0,0,0.0,1,10,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0CSFL,ST12000NM0008,12000138625024,46154.0,45437.0,717.0,30.0,27.0,-1.0,807445696.0,27235547984.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0CX7F,ST12000NM0008,12000138625024,46150.0,45433.0,717.0,24.0,21.0,-1.0,903272072.0,5452508232.0,0,0,0.0,0,0,0.0,1,31,4295032833.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0CXX3,ST12000NM0008,12000138625024,45472.0,44838.0,634.0,29.0,27.0,-1.0,1380708120.0,5019587448.0,0,0,0.0,0,0,0.0,1,28,4295032833.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0CYG9,ST12000NM0008,12000138625024,46150.0,45433.0,717.0,38.0,27.0,-1.0,949300856.0,5096300640.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0CZ2X,ST12000NM0008,12000138625024,46585.0,45868.0,717.0,34.0,33.0,0.0,1204546416.0,5331957112.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0D5PJ,ST12000NM0008,12000138625024,18796.0,18073.0,723.0,19.0,17.0,0.0,78346528.0,5545020408.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0DW9K,ST12000NM0008,12000138625024,46575.0,45858.0,717.0,31.0,29.0,0.0,1135533912.0,5480027520.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0E6WN,ST12000NM0008,12000138625024,46185.0,45459.0,726.0,29.0,24.0,-1.0,968377272.0,6236178330.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0EHQY,ST12000NM0008,12000138625024,15482.0,14766.0,716.0,39.0,38.0,0.0,1152476104.0,5306560832.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0EL3R,ST12000NM0008,12000138625024,22511.0,21784.0,727.0,40.0,39.0,-1.0,1351042944.0,7198167816.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0F23Z,ST12000NM0008,12000138625024,45475.0,44747.0,728.0,33.0,31.0,0.0,1501178224.0,7151539992.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0F2AZ,ST12000NM0008,12000138625024,42245.0,41513.0,732.0,33.0,30.0,-1.0,1391289776.0,6997537296.0,0,0,0.0,0,0,0.0,1,31,4295032833.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0F52T,ST12000NM0008,12000138625024,43093.0,42359.0,734.0,26.0,22.0,0.0,84773072.0,5606211240.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0F61Q,ST12000NM0008,12000138625024,43953.0,43237.0,716.0,29.0,23.0,-4.0,1562215032.0,6878835264.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0FKJ1,ST12000NM0008,12000138625024,41818.0,41101.0,717.0,35.0,29.0,-2.0,966196400.0,6767929202.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0FSB0,ST12000NM0008,12000138625024,46153.0,45435.0,718.0,38.0,28.0,0.0,949570544.0,6047347632.0,1,31,8.0,0,0,0.0,1,31,4295032833.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0FSJZ,ST12000NM0008,12000138625024,46149.0,45432.0,717.0,32.0,27.0,-1.0,930281568.0,6214267656.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0FSKL,ST12000NM0008,12000138625024,46147.0,45430.0,717.0,27.0,25.0,1.0,839572224.0,6574124500.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0FT8V,ST12000NM0008,12000138625024,45471.0,44759.0,712.0,34.0,32.0,0.0,1541971048.0,7192817000.0,0,0,0.0,0,0,0.0,1,31,4295032833.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0FW55,ST12000NM0008,12000138625024,43335.0,43287.0,48.0,30.0,29.0,0.0,69379584.0,517981856.0,1,3,64.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
ZHZ0SATT,ST12000NM0008,12000138625024,45983.0,45983.0,0.0,34.0,34.0,0.0,0.0,0.0,0,0,0.0,1,1,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ26BWC,ST12000NM0008,12000138625024,45482.0,45482.0,0.0,20.0,20.0,0.0,0.0,0.0,1,1,24.0,1,1,317.0,0,0,0.0,1,1,288.0,1,1,288.0,0,0,0.0,1
ZHZ3GDXR,ST12000NM0008,12000138625024,44853.0,44853.0,0.0,35.0,35.0,0.0,0.0,0.0,1,1,65080.0,1,1,952.0,1,1,30085742912.0,1,1,16.0,1,1,16.0,0,0,0.0,1
ZHZ3KSBH,ST12000NM0008,12000138625024,46069.0,46069.0,0.0,27.0,27.0,0.0,0.0,0.0,1,1,30568.0,1,1,624.0,1,1,12885098499.0,1,1,632.0,1,1,632.0,0,0,0.0,1
ZHZ3NABR,ST12000NM0008,12000138625024,46032.0,46032.0,0.0,29.0,29.0,0.0,0.0,0.0,1,1,10224.0,1,1,148.0,1,1,65537.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ3P3X6,ST12000NM0008,12000138625024,46232.0,46232.0,0.0,29.0,29.0,0.0,0.0,0.0,1,1,5800.0,1,1,319.0,0,0,0.0,1,1,512.0,1,1,512.0,0,0,0.0,1
ZHZ3QEYZ,ST12000NM0008,12000138625024,45780.0,45780.0,0.0,26.0,26.0,0.0,0.0,0.0,1,1,248.0,1,1,1265.0,1,1,10.0,1,1,96.0,1,1,96.0,1,1,15.0,1
ZHZ3XHRD,ST12000NM0008,12000138625024,45378.0,45378.0,0.0,29.0,29.0,0.0,0.0,0.0,1,1,1888.0,1,1,52.0,1,1,137441181832.0,1,1,56.0,1,1,56.0,1,1,99.0,1
ZHZ4Q1VP,ST12000NM0008,12000138625024,45406.0,45406.0,0.0,35.0,35.0,0.0,0.0,0.0,0,0,0.0,1,1,294.0,1,1,3145776.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ4WNVR,ST12000NM0008,12000138625024,44496.0,44496.0,0.0,41.0,41.0,0.0,0.0,0.0,1,1,8.0,1,1,287.0,1,1,730169540991.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ4WPFY,ST12000NM0008,12000138625024,44233.0,44233.0,0.0,43.0,43.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ4X5P9,ST12000NM0008,12000138625024,42640.0,42640.0,0.0,33.0,33.0,0.0,0.0,0.0,1,1,3512.0,1,1,123.0,1,1,30065754127.0,1,1,320.0,1,1,320.0,0,0,0.0,1
ZHZ4Y9NT,ST12000NM0008,12000138625024,44584.0,44584.0,0.0,28.0,28.0,0.0,0.0,0.0,1,1,3792.0,1,1,103.0,1,1,8590065666.0,1,1,8.0,1,1,8.0,0,0,0.0,1
ZHZ50G19,ST12000NM0008,12000138625024,39737.0,39737.0,0.0,28.0,28.0,0.0,0.0,0.0,1,1,2912.0,1,1,147.0,1,1,8591048721.0,1,1,16.0,1,1,16.0,0,0,0.0,1
ZHZ50LW6,ST12000NM0008,12000138625024,43391.0,43391.0,0.0,30.0,30.0,0.0,0.0,0.0,1,1,3056.0,1,1,95.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ50R3V,ST12000NM0008,12000138625024,44820.0,44820.0,0.0,34.0,34.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ50XBF,ST12000NM0008,12000138625024,44092.0,44092.0,0.0,31.0,31.0,0.0,0.0,0.0,1,1,2472.0,1,1,117.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ50XD0,ST12000NM0008,12000138625024,44323.0,44323.0,0.0,43.0,43.0,0.0,0.0,0.0,1,1,8272.0,1,1,27.0,1,1,219047067705.0,1,1,72.0,1,1,72.0,0,0,0.0,1
ZHZ5S279,ST12000NM0008,12000138625024,41794.0,41794.0,0.0,37.0,37.0,0.0,0.0,0.0,1,1,6896.0,1,1,19.0,1,1,8590065666.0,1,1,16.0,1,1,16.0,0,0,0.0,1
ZHZ5SMCR,ST12000NM0008,12000138625024,41535.0,41535.0,0.0,27.0,27.0,0.0,0.0,0.0,1,1,9936.0,1,1,154.0,1,1,4297916461.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ5TKWL,ST12000NM0008,12000138625024,41273.0,41273.0,0.0,23.0,23.0,0.0,0.0,0.0,1,1,48.0,1,1,27.0,1,1,1310740.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ60FGL,ST12000NM0008,12000138625024,9921.0,9921.0,0.0,33.0,33.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ62BZ0,ST12000NM0008,12000138625024,41994.0,41994.0,0.0,31.0,31.0,0.0,0.0,0.0,1,1,7288.0,1,1,848.0,1,1,12885098499.0,1,1,64.0,1,1,64.0,0,0,0.0,1
ZHZ62FNK,ST12000NM0008,12000138625024,42985.0,42985.0,0.0,35.0,35.0,0.0,0.0,0.0,1,1,8640.0,1,1,20.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ63F8S,ST12000NM0008,12000138625024,42867.0,42867.0,0.0,35.0,35.0,0.0,0.0,0.0,0,0,0.0,1,1,31.0,1,1,30068637755.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ63H4R,ST12000NM0008,12000138625024,42888.0,42888.0,0.0,35.0,35.0,0.0,0.0,0.0,1,1,11904.0,1,1,173.0,1,1,4296802332.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ657ZQ,ST12000NM0008,12000138625024,41422.0,41422.0,0.0,31.0,31.0,0.0,0.0,0.0,1,1,552.0,1,1,89.0,1,1,1835036.0,1,1,120.0,1,1,120.0,0,0,0.0,1
ZHZ65A85,ST12000NM0008,12000138625024,34034.0,34034.0,0.0,21.0,21.0,0.0,0.0,0.0,0,0,0.0,1,1,1.0,1,1,38655295497.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ65Y8A,ST12000NM0008,12000138625024,33885.0,33885.0,0.0,30.0,30.0,0.0,0.0,0.0,0,0,0.0,1,1,1.0,1,1,65537.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ69GPP,ST12000NM0008,12000138625024,38286.0,38286.0,0.0,27.0,27.0,0.0,0.0,0.0,1,1,128.0,1,1,157.0,1,1,8591769628.0,1,1,56.0,1,1,56.0,0,0,0.0,1
ZHZ6D3XH,ST12000NM0008,12000138625024,41265.0,41265.0,0.0,30.0,30.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZHZ6E9NE,ST12000NM0008,12000138625024,6578.0,6578.0,0.0,18.0,18.0,0.0,0.0,0.0,0,0,0.0,1,1,84.0,0,0,0.0,1,1,256.0,1,1,256.0,0,0,0.0,1
ZL004RNF,ST12000NM0008,12000138625024,38297.0,38297.0,0.0,26.0,26.0,0.0,0.0,0.0,1,1,8.0,1,1,35.0,1,1,12887982127.0,1,1,80.0,1,1,80.0,0,0,0.0,1
ZL0050XY,ST12000NM0008,12000138625024,40300.0,40300.0,0.0,22.0,22.0,0.0,0.0,0.0,0,0,0.0,1,1,48.0,1,1,4301586533.0,1,1,8640.0,1,1,8640.0,0,0,0.0,1
ZL00513T,ST12000NM0008,12000138625024,41398.0,41398.0,0.0,22.0,22.0,0.0,0.0,0.0,1,1,2280.0,1,1,678.0,1,1,262148.0,0,0,0.0,0,0,0.0,0,0,0.0,1
ZL005DFZ,ST12000NM0008,12000138625024,41268.0,41268.0,0.0,21.0,21.0,0.0,0.0,0.0,1,1,280.0,1,1,167.0,1,1,8594063423.0,1,1,16.0,1,1,16.0,0,0,0.0,1
ZL005DXB,ST12000NM0008,12000138625024,35295.0,35295.0,0.0,23.0,23.0,0.0,0.0,0.0,1,1,24.0,1,1,91.0,1,1,65537.0,1,1,112.0,1,1,112.0,0,0,0.0,1
